id,ChargeDescID,location_id,code,dcPrice,default_amount_in_cents,revenue_category,
1,763,4,Security Deposit,0,0,SecDep,
2,764,4,Outstanding Rent Balance,5,500,OutRentBal,
3,765,4,Rent,0,0,Rent,
4,766,4,Equipment Rental,0,0,POS,
5,767,4,Reservation Fee,25,2500,ReservFee,
6,768,4,Invoice Fee,0,0,InvoiceFee,
7,769,4,Lock Cut Fee,50,5000,LockCutFee,
8,770,4,Damages and Repairs,0,0,Damages,
9,771,4,Auction Fee,120,12000,AuctionFee,
10,772,4,Administrative Adjustment,0,0,AdminAdj,
11,773,4,Administrative Fee,20,2000,AdminFee,
12,774,4,Transfer Fee,0,0,TransferFee,
13,775,4,Late Fee,20,2000,LateFee1,
14,776,4,Late Fee #2,25,2500,LateFee2,
15,777,4,Late Fee #3,0,0,LateFee3,
16,778,4,NSF Fee,30,3000,NSFFee,
17,779,4,Outstanding Fee Balance,20,2000,OutFeeBal,
18,780,4,Delivery Fee,0,0,DeliveryFee,
19,781,4,Add Warehouse Storage: IBO,0,0,Mob_IBO,
20,782,4,Warehouse Termination: OBO,0,0,Mob_OBO,
21,783,4,Insurance,9,900,Insurance,
22,784,4,Recurring Charge 1,0,0,Recurring1,
23,785,4,Recurring Charge 2,0,0,Recurring2,
24,786,4,Recurring Charge 3,0,0,Recurring3,
25,787,4,Recurring Charge 4,0,0,Recurring4,
26,788,4,Recurring Charge 5,0,0,Recurring5,
27,789,4,Recurring Charge 6,0,0,Recurring6,
28,790,4,Recurring Charge 7,0,0,Recurring7,
29,791,4,Recurring Charge 8,0,0,Recurring8,
30,792,4,Delivery: DE,0,0,Mob_Trans_DE,
31,793,4,Re-Delivery: DF,0,0,Mob_Trans_DF,
32,794,4,Relocation: CC,0,0,Mob_Trans_CC,
33,795,4,Move-In: RF,0,0,Mob_Trans_RF,
34,796,4,Final Pickup: RE,0,0,Mob_Trans_RE,
35,2245,4,Unknown-1,2.25,225,POS,
36,2247,4,Unknown-2,3,300,POS,
37,2248,4,Unknown-3,3.75,375,POS,
38,2249,4,Unknown-4,4.5,450,POS,
39,2250,4,Unknown-5,15.25,1525,POS,
40,2251,4,Unknown-6,15,1500,POS,
41,2252,4,Unknown-7,20,2000,POS,
42,2253,4,Unknown-8,3,300,POS,
43,5105,4,Late Fee #4,0,0,LateFee4,
44,5153,4,Late Fee #5,0,0,LateFee5,
45,6244,4,Convenience Fee,0,0,ConvFee,
46,9918,4,Rent Refund Dismissed,0,0,Rent_Dismssd,
47,11687,4,Unknown-9,0,0,,
48,11815,4,Unknown-10,9,900,,
