Totals & Averages,CHARGEID,CHARGEDESCID,LEDGERID,DCAMT,DCHGSTRT,DCHGEND,DCREATED,BNSF,SCHGDESC,DDELETED,EMPLOYEEID
,28758.0,764.0,1604.0,30.0,2010-03-24 00:00:00.000,2010-03-24 23:59:59.000,2010-03-24 11:55:52.000,False,Outstanding Rent Balance,,46.0
,28759.0,764.0,1608.0,30.0,2010-03-24 00:00:00.000,2010-03-24 23:59:59.000,2010-03-24 11:55:52.000,False,Outstanding Rent Balance,,46.0
,28760.0,764.0,1612.0,15.0,2010-03-24 00:00:00.000,2010-03-24 23:59:59.000,2010-03-24 11:55:52.000,False,Outstanding Rent Balance,,46.0
,28761.0,764.0,1618.0,80.0,2010-03-24 00:00:00.000,2010-03-24 23:59:59.000,2010-03-24 11:55:52.000,False,Outstanding Rent Balance,,46.0
,28762.0,764.0,1619.0,10.0,2010-03-24 00:00:00.000,2010-03-24 23:59:59.000,2010-03-24 11:55:52.000,False,Outstanding Rent Balance,,46.0
,28763.0,764.0,1625.0,110.0,2010-03-24 00:00:00.000,2010-03-24 23:59:59.000,2010-03-24 11:55:52.000,False,Outstanding Rent Balance,,46.0
,28764.0,764.0,1628.0,15.0,2010-03-24 00:00:00.000,2010-03-24 23:59:59.000,2010-03-24 11:55:52.000,False,Outstanding Rent Balance,,46.0
,28765.0,764.0,1631.0,30.0,2010-03-24 00:00:00.000,2010-03-24 23:59:59.000,2010-03-24 11:55:52.000,False,Outstanding Rent Balance,,46.0
,28766.0,764.0,1632.0,15.0,2010-03-24 00:00:00.000,2010-03-24 23:59:59.000,2010-03-24 11:55:52.000,False,Outstanding Rent Balance,,46.0
,28767.0,764.0,1658.0,80.0,2010-03-24 00:00:00.000,2010-03-24 23:59:59.000,2010-03-24 11:55:52.000,False,Outstanding Rent Balance,,46.0
,28768.0,764.0,1659.0,140.0,2010-03-24 00:00:00.000,2010-03-24 23:59:59.000,2010-03-24 11:55:52.000,False,Outstanding Rent Balance,,46.0
,28769.0,764.0,1662.0,60.0,2010-03-24 00:00:00.000,2010-03-24 23:59:59.000,2010-03-24 11:55:52.000,False,Outstanding Rent Balance,,46.0
,28770.0,764.0,1685.0,140.0,2010-03-24 00:00:00.000,2010-03-24 23:59:59.000,2010-03-24 11:55:52.000,False,Outstanding Rent Balance,,46.0
,28771.0,764.0,1688.0,95.0,2010-03-24 00:00:00.000,2010-03-24 23:59:59.000,2010-03-24 11:55:52.000,False,Outstanding Rent Balance,,46.0
,28772.0,764.0,1691.0,110.0,2010-03-24 00:00:00.000,2010-03-24 23:59:59.000,2010-03-24 11:55:52.000,False,Outstanding Rent Balance,,46.0
,28773.0,764.0,1696.0,110.0,2010-03-24 00:00:00.000,2010-03-24 23:59:59.000,2010-03-24 11:55:52.000,False,Outstanding Rent Balance,,46.0
,28774.0,764.0,1698.0,15.0,2010-03-24 00:00:00.000,2010-03-24 23:59:59.000,2010-03-24 11:55:52.000,False,Outstanding Rent Balance,,46.0
,28775.0,764.0,1704.0,121.0,2010-03-24 00:00:00.000,2010-03-24 23:59:59.000,2010-03-24 11:55:52.000,False,Outstanding Rent Balance,,46.0
,28776.0,764.0,1721.0,15.0,2010-03-24 00:00:00.000,2010-03-24 23:59:59.000,2010-03-24 11:55:52.000,False,Outstanding Rent Balance,,46.0
,28777.0,764.0,1730.0,60.0,2010-03-24 00:00:00.000,2010-03-24 23:59:59.000,2010-03-24 11:55:52.000,False,Outstanding Rent Balance,,46.0
,28778.0,764.0,1740.0,30.0,2010-03-24 00:00:00.000,2010-03-24 23:59:59.000,2010-03-24 11:55:52.000,False,Outstanding Rent Balance,,46.0
,28779.0,764.0,1748.0,30.0,2010-03-24 00:00:00.000,2010-03-24 23:59:59.000,2010-03-24 11:55:52.000,False,Outstanding Rent Balance,,46.0
,28780.0,764.0,1758.0,15.0,2010-03-24 00:00:00.000,2010-03-24 23:59:59.000,2010-03-24 11:55:52.000,False,Outstanding Rent Balance,,46.0
,28781.0,764.0,1760.0,74.0,2010-03-24 00:00:00.000,2010-03-24 23:59:59.000,2010-03-24 11:55:52.000,False,Outstanding Rent Balance,,46.0
,28782.0,764.0,1761.0,30.0,2010-03-24 00:00:00.000,2010-03-24 23:59:59.000,2010-03-24 11:55:52.000,False,Outstanding Rent Balance,,46.0
,28783.0,764.0,1767.0,45.0,2010-03-24 00:00:00.000,2010-03-24 23:59:59.000,2010-03-24 11:55:52.000,False,Outstanding Rent Balance,,46.0
,28784.0,764.0,1770.0,30.0,2010-03-24 00:00:00.000,2010-03-24 23:59:59.000,2010-03-24 11:55:52.000,False,Outstanding Rent Balance,,46.0
,28785.0,764.0,1780.0,80.0,2010-03-24 00:00:00.000,2010-03-24 23:59:59.000,2010-03-24 11:55:52.000,False,Outstanding Rent Balance,,46.0
,28786.0,764.0,1788.0,30.0,2010-03-24 00:00:00.000,2010-03-24 23:59:59.000,2010-03-24 11:55:52.000,False,Outstanding Rent Balance,,46.0
,28787.0,764.0,1797.0,155.0,2010-03-24 00:00:00.000,2010-03-24 23:59:59.000,2010-03-24 11:55:52.000,False,Outstanding Rent Balance,,46.0
,28788.0,764.0,1504.0,110.0,2010-03-24 00:00:00.000,2010-03-24 23:59:59.000,2010-03-24 11:55:52.000,False,Outstanding Rent Balance,,46.0
,28789.0,764.0,1530.0,30.0,2010-03-24 00:00:00.000,2010-03-24 23:59:59.000,2010-03-24 11:55:52.000,False,Outstanding Rent Balance,,46.0
,28790.0,764.0,1585.0,15.0,2010-03-24 00:00:00.000,2010-03-24 23:59:59.000,2010-03-24 11:55:52.000,False,Outstanding Rent Balance,,46.0
,28791.0,764.0,1593.0,26.0,2010-03-24 00:00:00.000,2010-03-24 23:59:59.000,2010-03-24 11:55:52.000,False,Outstanding Rent Balance,,46.0
,28792.0,764.0,1600.0,640.0,2010-03-24 00:00:00.000,2010-03-24 23:59:59.000,2010-03-24 11:55:52.000,False,Outstanding Rent Balance,,46.0
,28793.0,764.0,1812.0,15.0,2010-03-24 00:00:00.000,2010-03-24 23:59:59.000,2010-03-24 11:55:52.000,False,Outstanding Rent Balance,,46.0
,28794.0,764.0,1815.0,165.0,2010-03-24 00:00:00.000,2010-03-24 23:59:59.000,2010-03-24 11:55:52.000,False,Outstanding Rent Balance,,46.0
,28795.0,764.0,1821.0,95.0,2010-03-24 00:00:00.000,2010-03-24 23:59:59.000,2010-03-24 11:55:52.000,False,Outstanding Rent Balance,,46.0
,28796.0,765.0,1603.0,147.0,2010-03-27 00:00:00.000,2010-04-26 23:59:59.000,2010-03-24 11:37:08.000,False,Rent,,46.0
,28797.0,765.0,1604.0,130.0,2010-03-01 00:00:00.000,2010-03-31 23:59:59.000,2010-03-24 11:37:08.000,False,Rent,,46.0
,28798.0,765.0,1605.0,120.0,2010-04-01 00:00:00.000,2010-04-30 23:59:59.000,2010-03-24 11:37:08.000,False,Rent,,46.0
,28799.0,765.0,1606.0,132.0,2010-04-01 00:00:00.000,2010-04-30 23:59:59.000,2010-03-24 11:37:08.000,False,Rent,,46.0
,28800.0,765.0,1607.0,136.0,2010-04-01 00:00:00.000,2010-04-30 23:59:59.000,2010-03-24 11:37:08.000,False,Rent,,46.0
,28801.0,765.0,1608.0,123.0,2010-03-01 00:00:00.000,2010-03-31 23:59:59.000,2010-03-24 11:37:08.000,False,Rent,,46.0
,28802.0,765.0,1609.0,143.0,2010-04-07 00:00:00.000,2010-05-06 23:59:59.000,2010-03-24 11:37:08.000,False,Rent,,46.0
,28803.0,765.0,1610.0,167.0,2010-04-10 00:00:00.000,2010-05-09 23:59:59.000,2010-03-24 11:37:08.000,False,Rent,,46.0
,28804.0,765.0,1611.0,63.0,2010-04-01 00:00:00.000,2010-04-30 23:59:59.000,2010-03-24 11:37:09.000,False,Rent,,46.0
,28805.0,765.0,1612.0,63.0,2010-03-15 00:00:00.000,2010-04-14 23:59:59.000,2010-03-24 11:37:09.000,False,Rent,,46.0
,28806.0,765.0,1613.0,63.0,2010-04-10 00:00:00.000,2010-05-09 23:59:59.000,2010-03-24 11:37:09.000,False,Rent,,46.0
,28807.0,765.0,1614.0,83.0,2010-04-19 00:00:00.000,2010-05-18 23:59:59.000,2010-03-24 11:37:09.000,False,Rent,,46.0
,28808.0,765.0,1615.0,83.0,2010-06-03 00:00:00.000,2010-07-02 23:59:59.000,2010-03-24 11:37:09.000,False,Rent,,46.0
,28809.0,765.0,1616.0,83.0,2010-04-03 00:00:00.000,2010-05-02 23:59:59.000,2010-03-24 11:37:09.000,False,Rent,,46.0
,28810.0,765.0,1617.0,83.0,2010-04-09 00:00:00.000,2010-05-08 23:59:59.000,2010-03-24 11:37:09.000,False,Rent,,46.0
,28811.0,765.0,1618.0,63.0,2010-02-20 00:00:00.000,2010-03-19 23:59:59.000,2010-03-24 11:37:09.000,False,Rent,,46.0
,28812.0,765.0,1619.0,63.0,2010-03-31 00:00:00.000,2010-04-30 23:59:59.000,2010-03-24 11:37:09.000,False,Rent,,46.0
,28813.0,765.0,1620.0,63.0,2010-05-03 00:00:00.000,2010-06-02 23:59:59.000,2010-03-24 11:37:09.000,False,Rent,,46.0
,28814.0,765.0,1621.0,83.0,2010-04-21 00:00:00.000,2010-05-20 23:59:59.000,2010-03-24 11:37:09.000,False,Rent,2010-03-29 12:44:44.000,46.0
,28815.0,765.0,1622.0,147.0,2010-09-05 00:00:00.000,2010-10-04 23:59:59.000,2010-03-24 11:37:09.000,False,Rent,2010-04-02 15:13:43.000,46.0
,28816.0,765.0,1623.0,83.0,2010-05-06 00:00:00.000,2010-06-05 23:59:59.000,2010-03-24 11:37:09.000,False,Rent,,46.0
,28817.0,765.0,1624.0,63.0,2010-03-27 00:00:00.000,2010-04-26 23:59:59.000,2010-03-24 11:37:09.000,False,Rent,,46.0
,28818.0,765.0,1625.0,63.0,2010-03-20 00:00:00.000,2010-04-19 23:59:59.000,2010-03-24 11:37:09.000,False,Rent,,46.0
,28819.0,765.0,1626.0,63.0,2010-04-13 00:00:00.000,2010-05-12 23:59:59.000,2010-03-24 11:37:09.000,False,Rent,,46.0
,28820.0,765.0,1627.0,83.0,2010-04-24 00:00:00.000,2010-05-23 23:59:59.000,2010-03-24 11:37:09.000,False,Rent,,46.0
,28821.0,765.0,1628.0,80.0,2010-03-16 00:00:00.000,2010-04-15 23:59:59.000,2010-03-24 11:37:09.000,False,Rent,,46.0
,28822.0,765.0,1629.0,80.0,2010-03-28 00:00:00.000,2010-04-27 23:59:59.000,2010-03-24 11:37:10.000,False,Rent,,46.0
,28823.0,765.0,1630.0,83.0,2010-04-02 00:00:00.000,2010-05-01 23:59:59.000,2010-03-24 11:37:10.000,False,Rent,,46.0
,28824.0,765.0,1631.0,80.0,2010-03-02 00:00:00.000,2010-04-01 23:59:59.000,2010-03-24 11:37:10.000,False,Rent,,46.0
,28825.0,765.0,1632.0,55.0,2010-03-10 00:00:00.000,2010-04-09 23:59:59.000,2010-03-24 11:37:10.000,False,Rent,,46.0
,28826.0,765.0,1633.0,46.0,2010-04-18 00:00:00.000,2010-05-17 23:59:59.000,2010-03-24 11:37:10.000,False,Rent,,46.0
,28827.0,765.0,1634.0,63.0,2010-03-27 00:00:00.000,2010-04-26 23:59:59.000,2010-03-24 11:37:10.000,False,Rent,,46.0
,28828.0,765.0,1635.0,83.0,2010-04-05 00:00:00.000,2010-05-04 23:59:59.000,2010-03-24 11:37:10.000,False,Rent,,46.0
,28829.0,765.0,1636.0,83.0,2010-04-30 00:00:00.000,2010-05-29 23:59:59.000,2010-03-24 11:37:10.000,False,Rent,,46.0
,28830.0,765.0,1637.0,83.0,2010-03-27 00:00:00.000,2010-04-26 23:59:59.000,2010-03-24 11:37:10.000,False,Rent,,46.0
,28831.0,765.0,1638.0,73.0,2010-04-01 00:00:00.000,2010-04-30 23:59:59.000,2010-03-24 11:37:10.000,False,Rent,,46.0
,28832.0,765.0,1639.0,88.0,2010-05-01 00:00:00.000,2010-05-31 23:59:59.000,2010-03-24 11:37:10.000,False,Rent,,46.0
,28833.0,765.0,1640.0,83.0,2010-04-07 00:00:00.000,2010-05-06 23:59:59.000,2010-03-24 11:37:10.000,False,Rent,,46.0
,28834.0,765.0,1641.0,80.0,2010-04-01 00:00:00.000,2010-04-30 23:59:59.000,2010-03-24 11:37:10.000,False,Rent,,46.0
,28835.0,765.0,1642.0,83.0,2010-04-12 00:00:00.000,2010-05-11 23:59:59.000,2010-03-24 11:37:10.000,False,Rent,,46.0
,28836.0,765.0,1643.0,73.0,2010-04-05 00:00:00.000,2010-05-04 23:59:59.000,2010-03-24 11:37:10.000,False,Rent,,46.0
,28837.0,765.0,1644.0,83.0,2010-04-06 00:00:00.000,2010-05-05 23:59:59.000,2010-03-24 11:37:10.000,False,Rent,,46.0
,28838.0,765.0,1645.0,83.0,2010-04-03 00:00:00.000,2010-05-02 23:59:59.000,2010-03-24 11:37:10.000,False,Rent,,46.0
,28839.0,765.0,1646.0,50.0,2010-04-19 00:00:00.000,2010-05-18 23:59:59.000,2010-03-24 11:37:11.000,False,Rent,,46.0
,28840.0,765.0,1647.0,46.0,2010-04-22 00:00:00.000,2010-05-21 23:59:59.000,2010-03-24 11:37:11.000,False,Rent,,46.0
,28841.0,765.0,1648.0,63.0,2010-04-01 00:00:00.000,2010-04-30 23:59:59.000,2010-03-24 11:37:11.000,False,Rent,,46.0
,28842.0,765.0,1649.0,53.0,2010-04-08 00:00:00.000,2010-05-07 23:59:59.000,2010-03-24 11:37:11.000,False,Rent,,46.0
,28843.0,765.0,1650.0,63.0,2010-04-02 00:00:00.000,2010-05-01 23:59:59.000,2010-03-24 11:37:11.000,False,Rent,,46.0
,28844.0,765.0,1651.0,63.0,2010-04-02 00:00:00.000,2010-05-01 23:59:59.000,2010-03-24 11:37:11.000,False,Rent,,46.0
,28845.0,765.0,1652.0,63.0,2010-03-29 00:00:00.000,2010-04-28 23:59:59.000,2010-03-24 11:37:11.000,False,Rent,,46.0
,28846.0,765.0,1653.0,60.0,2010-04-03 00:00:00.000,2010-05-02 23:59:59.000,2010-03-24 11:37:11.000,False,Rent,,46.0
,28847.0,765.0,1654.0,63.0,2010-04-08 00:00:00.000,2010-05-07 23:59:59.000,2010-03-24 11:37:11.000,False,Rent,,46.0
,28848.0,765.0,1655.0,57.0,2010-05-02 00:00:00.000,2010-06-01 23:59:59.000,2010-03-24 11:37:11.000,False,Rent,,46.0
,28849.0,765.0,1656.0,63.0,2010-04-01 00:00:00.000,2010-04-30 23:59:59.000,2010-03-24 11:37:11.000,False,Rent,,46.0
,28850.0,765.0,1657.0,63.0,2010-04-16 00:00:00.000,2010-05-15 23:59:59.000,2010-03-24 11:37:11.000,False,Rent,,46.0
,28851.0,765.0,1658.0,63.0,2010-02-21 00:00:00.000,2010-03-20 23:59:59.000,2010-03-24 11:37:11.000,False,Rent,,46.0
,28852.0,765.0,1659.0,63.0,2010-01-08 00:00:00.000,2010-02-07 23:59:59.000,2010-03-24 11:37:11.000,False,Rent,,46.0
,28853.0,765.0,1660.0,55.0,2010-04-11 00:00:00.000,2010-05-10 23:59:59.000,2010-03-24 11:37:11.000,False,Rent,,46.0
,28854.0,765.0,1661.0,103.0,2010-04-10 00:00:00.000,2010-05-09 23:59:59.000,2010-03-24 11:37:11.000,False,Rent,,46.0
,28855.0,765.0,1662.0,63.0,2010-03-04 00:00:00.000,2010-04-03 23:59:59.000,2010-03-24 11:37:12.000,False,Rent,,46.0
,28856.0,765.0,1663.0,63.0,2010-04-11 00:00:00.000,2010-05-10 23:59:59.000,2010-03-24 11:37:12.000,False,Rent,,46.0
,28857.0,765.0,1664.0,63.0,2010-03-31 00:00:00.000,2010-04-30 23:59:59.000,2010-03-24 11:37:12.000,False,Rent,,46.0
,28858.0,765.0,1665.0,63.0,2010-04-22 00:00:00.000,2010-05-21 23:59:59.000,2010-03-24 11:37:12.000,False,Rent,,46.0
,28859.0,765.0,1666.0,63.0,2010-04-09 00:00:00.000,2010-05-08 23:59:59.000,2010-03-24 11:37:12.000,False,Rent,,46.0
,28860.0,765.0,1667.0,63.0,2010-05-21 00:00:00.000,2010-06-20 23:59:59.000,2010-03-24 11:37:12.000,False,Rent,,46.0
,28861.0,765.0,1668.0,63.0,2010-04-01 00:00:00.000,2010-04-30 23:59:59.000,2010-03-24 11:37:12.000,False,Rent,,46.0
,28862.0,765.0,1669.0,63.0,2010-04-05 00:00:00.000,2010-05-04 23:59:59.000,2010-03-24 11:37:12.000,False,Rent,,46.0
,28863.0,765.0,1670.0,69.0,2010-04-22 00:00:00.000,2010-05-21 23:59:59.000,2010-03-24 11:37:12.000,False,Rent,,46.0
,28864.0,765.0,1671.0,93.0,2010-03-23 00:00:00.000,2010-04-22 23:59:59.000,2010-03-24 11:37:12.000,False,Rent,,46.0
,28865.0,765.0,1672.0,93.0,2010-07-05 00:00:00.000,2010-08-04 23:59:59.000,2010-03-24 11:37:12.000,False,Rent,,46.0
,28866.0,765.0,1673.0,69.0,2010-04-03 00:00:00.000,2010-05-02 23:59:59.000,2010-03-24 11:37:12.000,False,Rent,,46.0
