Totals & Averages,CreditID,SiteID,FiscalID,PaymentID,LedgerID,ReceiptID,EmployeeID,ConcessionID,MemoID,dCredit,dcCreditAmt,bTferMoveOutAdjmt,bNonPosting,dCreated,dArchived,dDeleted,dUpdated,uTS,SMEMO
,45162,1495,6955,223876,1601,132116,91,88,115865,03-30-2010 8:46:09.220,15,FALSE,FALSE,01-02-1900 0:00:00.000,,,03-30-2010 8:46:12.330,System.Byte[],Waived current late fee 1.
,45163,1495,6955,223876,1601,132116,91,88,115865,03-30-2010 8:46:09.220,-15,FALSE,FALSE,01-02-1900 0:00:00.000,,,03-30-2010 8:46:12.330,System.Byte[],Waived current late fee 1.
,82776,1495,25382,405243,1558,243133,91,88,182639,04-01-2010 8:45:07.483,15,FALSE,FALSE,01-02-1900 0:00:00.000,,,04-01-2010 8:45:11.037,System.Byte[],Waived current late fee 1.
,82777,1495,25382,405243,1558,243133,91,88,182639,04-01-2010 8:45:07.483,-15,FALSE,FALSE,01-02-1900 0:00:00.000,,,04-01-2010 8:45:11.037,System.Byte[],Waived current late fee 1.
,82792,1495,25382,405369,8219,243233,91,88,182652,04-01-2010 11:17:34.313,15,FALSE,FALSE,01-02-1900 0:00:00.000,,,04-01-2010 11:17:38.380,System.Byte[],Waived current late fee 1.
,82793,1495,25382,405369,8219,243233,91,88,182652,04-01-2010 11:17:34.313,-15,FALSE,FALSE,01-02-1900 0:00:00.000,,,04-01-2010 11:17:38.380,System.Byte[],Waived current late fee 1.
,82794,1495,25382,405370,8220,243233,91,88,182653,04-01-2010 11:17:34.313,15,FALSE,FALSE,01-02-1900 0:00:00.000,,,04-01-2010 11:17:38.380,System.Byte[],Waived current late fee 1.
,82795,1495,25382,405370,8220,243233,91,88,182653,04-01-2010 11:17:34.313,-15,FALSE,FALSE,01-02-1900 0:00:00.000,,,04-01-2010 11:17:38.380,System.Byte[],Waived current late fee 1.
,85992,1495,25397,416492,1662,249768,91,88,193045,04-02-2010 11:19:22.077,15,FALSE,FALSE,01-02-1900 0:00:00.000,,,04-02-2010 11:19:25.883,System.Byte[],Waived current late fee 1.
,85993,1495,25397,416492,1662,249768,91,88,193045,04-02-2010 11:19:22.077,-15,FALSE,FALSE,01-02-1900 0:00:00.000,,,04-02-2010 11:19:25.883,System.Byte[],Waived current late fee 1.
,86090,1495,25804,417607,1585,250586,91,88,193217,04-04-2010 17:24:49.233,15,FALSE,FALSE,01-02-1900 0:00:00.000,,,04-04-2010 17:24:52.467,System.Byte[],Waived current late fee 1.
,86091,1495,25804,417607,1585,250586,91,88,193217,04-04-2010 17:24:49.233,-15,FALSE,FALSE,01-02-1900 0:00:00.000,,,04-04-2010 17:24:52.467,System.Byte[],Waived current late fee 1.
,86108,1495,25828,417779,1828,250697,93,88,193259,04-05-2010 12:04:20.627,15,FALSE,FALSE,01-02-1900 0:00:00.000,,,04-05-2010 12:04:24.690,System.Byte[],Waived current late fee 1.
,86109,1495,25828,417779,1828,250697,93,88,193259,04-05-2010 12:04:20.627,-15,FALSE,FALSE,01-02-1900 0:00:00.000,,,04-05-2010 12:04:24.690,System.Byte[],Waived current late fee 1.
,86254,1495,25852,418740,1735,251354,91,88,193593,04-07-2010 9:02:21.157,15,FALSE,FALSE,01-02-1900 0:00:00.000,,,04-07-2010 9:02:26.653,System.Byte[],Waived current late fee 1.
,86255,1495,25852,418740,1735,251354,91,88,193593,04-07-2010 9:02:21.157,-15,FALSE,FALSE,01-02-1900 0:00:00.000,,,04-07-2010 9:02:26.653,System.Byte[],Waived current late fee 1.
