Totals & Averages,INVOICEID,IINVOICENUM,TENANTID,DINVOICED,DDUE,DPAIDTHRU,DDELETED,INVOICEDETAILID,LEDGERID,CHARGEID,PAYMENTID
,53717.0,15,1408.0,2010-04-10 08:37:31.817,2010-04-10 23:59:59.000,,,127315.0,1613.0,28806.0,419780.0
,60724.0,56,1417.0,2010-04-21 09:54:32.833,2010-05-06 23:59:59.000,,,147200.0,1623.0,28816.0,548775.0
,62948.0,151,1417.0,2010-05-22 09:35:38.163,2010-06-06 23:59:59.000,,,151128.0,1623.0,28816.0,548775.0
,60849.0,63,1421.0,2010-04-24 10:32:06.767,2010-04-24 23:59:59.000,,,147350.0,1627.0,28820.0,536636.0
,60437.0,34,1433.0,2010-04-16 14:37:55.267,2010-05-01 00:00:00.000,,,146749.0,1639.0,28832.0,535620.0
,53668.0,10,1436.0,2010-04-08 14:04:11.303,2010-04-12 23:59:59.000,,,127238.0,1642.0,28835.0,420755.0
,53661.0,3,1441.0,2010-04-08 14:03:44.833,2010-04-22 23:59:59.000,,,127228.0,1647.0,28840.0,535821.0
,60477.0,35,1449.0,2010-04-17 08:59:57.203,2010-05-02 23:59:59.000,,,146800.0,1655.0,28848.0,536669.0
,53718.0,16,1455.0,2010-04-10 08:39:45.520,2010-04-10 23:59:59.000,,,127316.0,1661.0,28854.0,419781.0
,53827.0,20,1457.0,2010-04-12 09:08:24.117,2010-04-11 23:59:59.000,,,127439.0,1663.0,28856.0,420262.0
,53690.0,14,1460.0,2010-04-09 10:58:17.380,2010-04-09 23:59:59.000,,,127266.0,1666.0,28859.0,419514.0
,53662.0,4,1468.0,2010-04-08 14:03:48.317,2010-04-20 23:59:59.000,,,127229.0,1674.0,28867.0,535287.0
,53667.0,9,1486.0,2010-04-08 14:04:07.460,2010-04-27 23:59:59.000,,,127236.0,1692.0,28885.0,534608.0
,53826.0,19,1486.0,2010-04-12 09:06:54.350,2010-04-27 23:59:59.000,,,127436.0,1692.0,28885.0,534608.0
,60569.0,43,1501.0,2010-04-19 09:19:03.407,2010-05-03 23:59:59.000,,,146958.0,1707.0,28900.0,538465.0
,60595.0,51,1505.0,2010-04-19 12:00:35.327,2010-04-19 23:59:59.000,,,146994.0,1711.0,28904.0,534984.0
,61327.0,79,1518.0,2010-04-30 08:17:27.233,2010-05-15 23:59:59.000,,,148048.0,1724.0,28917.0,582964.0
,69629.0,174,1518.0,2010-06-01 13:30:16.907,2010-06-15 23:59:59.000,,,162225.0,1724.0,28917.0,582964.0
,53665.0,7,1520.0,2010-04-08 14:03:59.333,2010-04-19 23:59:59.000,,,127234.0,1726.0,28919.0,534371.0
,60593.0,49,1537.0,2010-04-19 11:59:57.843,2010-04-19 23:59:59.000,,,146992.0,1744.0,28937.0,534982.0
,60487.0,37,1554.0,2010-04-17 09:46:57.937,2010-04-16 23:59:59.000,,,146810.0,1763.0,28956.0,534485.0
,60491.0,41,1560.0,2010-04-17 09:50:31.877,2010-04-09 23:59:59.000,,,146814.0,1769.0,28962.0,534489.0
,60594.0,50,1525.0,2010-04-19 12:00:16.750,2010-04-18 23:59:59.000,,,146993.0,1781.0,28974.0,534983.0
,53669.0,11,1303.0,2010-04-08 14:04:15.020,2010-04-21 23:59:59.000,,,127239.0,1506.0,29002.0,540089.0
,53659.0,1,1322.0,2010-04-08 14:03:37.193,2010-04-20 23:59:59.000,,,127226.0,1525.0,29021.0,419844.0
,53666.0,8,1329.0,2010-04-08 14:04:02.710,2010-04-21 23:59:59.000,,,127235.0,1532.0,29028.0,535594.0
,53881.0,23,1333.0,2010-04-13 08:53:28.397,2010-04-13 23:59:59.000,,,127543.0,1536.0,29032.0,420754.0
,53828.0,21,1340.0,2010-04-12 09:09:48.413,2010-04-12 23:59:59.000,,,127440.0,1543.0,29039.0,420265.0
,60591.0,47,1341.0,2010-04-19 11:59:10.703,2010-04-18 23:59:59.000,,,146990.0,1544.0,29040.0,534980.0
,60592.0,48,1344.0,2010-04-19 11:59:32.797,2010-04-19 23:59:59.000,,,146991.0,1547.0,29043.0,534981.0
,60490.0,40,1357.0,2010-04-17 09:49:49.657,2010-04-14 23:59:59.000,,,146813.0,1560.0,29056.0,534488.0
,53829.0,22,1360.0,2010-04-12 09:11:16.787,2010-04-12 23:59:59.000,,,127441.0,1563.0,29059.0,420268.0
,60590.0,46,1363.0,2010-04-19 11:58:49.827,2010-04-19 23:59:59.000,,,146989.0,1566.0,29062.0,534979.0
,60488.0,38,1365.0,2010-04-17 09:48:16.233,2010-04-13 23:59:59.000,,,146811.0,1568.0,29064.0,534486.0
,53671.0,13,1376.0,2010-04-08 14:05:57.397,2010-04-04 23:59:59.000,,,127242.0,1579.0,29075.0,419211.0
,60850.0,64,1377.0,2010-04-24 10:32:55.437,2010-04-24 23:59:59.000,,,147351.0,1580.0,29076.0,536637.0
,53660.0,2,1378.0,2010-04-08 14:03:41.490,2010-04-12 23:59:59.000,,,127227.0,1581.0,29077.0,420279.0
,62063.0,108,1379.0,2010-05-08 08:54:36.653,2010-05-23 23:59:59.000,,,148927.0,1582.0,29078.0,546724.0
,53902.0,27,1386.0,2010-04-14 08:44:34.673,2010-04-14 23:59:59.000,,,127573.0,1590.0,29086.0,421042.0
,61902.0,91,1388.0,2010-05-04 11:30:47.997,2010-05-04 23:59:59.000,,,148709.0,1592.0,29088.0,541000.0
,53901.0,26,1391.0,2010-04-14 08:44:09.250,2010-04-14 23:59:59.000,,,127572.0,1595.0,29091.0,421041.0
,60851.0,65,1310.0,2010-04-24 10:33:51.343,2010-04-24 23:59:59.000,,,147352.0,1602.0,29098.0,536638.0
,60489.0,39,1310.0,2010-04-17 09:49:10.233,2010-04-17 23:59:59.000,,,146812.0,1806.0,29100.0,534487.0
,60588.0,44,1440.0,2010-04-19 11:57:58.453,2010-04-18 23:59:59.000,,,146987.0,1818.0,29112.0,534977.0
,60589.0,45,1292.0,2010-04-19 11:58:27.627,2010-04-19 23:59:59.000,,,146988.0,1820.0,29114.0,534978.0
,53900.0,25,1495.0,2010-04-14 08:40:45.703,2010-04-29 23:59:59.000,,,127571.0,8222.0,130416.0,539219.0
,53670.0,12,1299.0,2010-04-08 14:04:19.520,2010-04-01 00:00:00.000,,,127240.0,1502.0,403069.0,537520.0
,60436.0,33,1299.0,2010-04-16 14:37:51.923,2010-05-01 00:00:00.000,,,146746.0,1502.0,403069.0,537520.0
,53663.0,5,1403.0,2010-04-08 14:03:51.927,2010-04-01 00:00:00.000,,,127230.0,1604.0,403071.0,582455.0
,60432.0,29,1403.0,2010-04-16 14:37:27.860,2010-05-01 00:00:00.000,,,146738.0,1604.0,403071.0,582455.0
,62406.0,128,1403.0,2010-05-17 08:24:08.923,2010-06-01 00:00:00.000,,,149394.0,1604.0,403071.0,582455.0
,53664.0,6,1403.0,2010-04-08 14:03:55.567,2010-04-01 00:00:00.000,,,127232.0,1608.0,403072.0,582456.0
,60433.0,30,1403.0,2010-04-16 14:37:31.140,2010-05-01 00:00:00.000,,,146741.0,1608.0,403072.0,582456.0
,62406.0,128,1403.0,2010-05-17 08:24:08.923,2010-06-01 00:00:00.000,,,149400.0,1608.0,403072.0,582456.0
,53667.0,9,1486.0,2010-04-08 14:04:07.460,2010-04-27 23:59:59.000,,,127237.0,1692.0,404917.0,534609.0
,53826.0,19,1486.0,2010-04-12 09:06:54.350,2010-04-27 23:59:59.000,,,127437.0,1692.0,404917.0,534609.0
,53825.0,18,1337.0,2010-04-12 09:06:51.427,2010-04-26 23:59:59.000,,,127435.0,1540.0,416471.0,417931.0
,53825.0,18,1337.0,2010-04-12 09:06:51.427,2010-04-26 23:59:59.000,,,127435.0,1540.0,416471.0,544176.0
,60596.0,52,1561.0,2010-04-19 12:00:57.437,2010-04-06 23:59:59.000,,,146995.0,1770.0,416608.0,534896.0
,60596.0,52,1561.0,2010-04-19 12:00:57.437,2010-04-06 23:59:59.000,,,146995.0,1770.0,416608.0,534987.0
,53670.0,12,1299.0,2010-04-08 14:04:19.520,2010-04-01 00:00:00.000,,,127241.0,1502.0,417050.0,537521.0
,60436.0,33,1299.0,2010-04-16 14:37:51.923,2010-05-01 00:00:00.000,,,146747.0,1502.0,417050.0,537521.0
,53663.0,5,1403.0,2010-04-08 14:03:51.927,2010-04-01 00:00:00.000,,,127231.0,1604.0,417052.0,582457.0
,60432.0,29,1403.0,2010-04-16 14:37:27.860,2010-05-01 00:00:00.000,,,146739.0,1604.0,417052.0,582457.0
,62406.0,128,1403.0,2010-05-17 08:24:08.923,2010-06-01 00:00:00.000,,,149395.0,1604.0,417052.0,582457.0
,53664.0,6,1403.0,2010-04-08 14:03:55.567,2010-04-01 00:00:00.000,,,127233.0,1608.0,417053.0,582458.0
,60433.0,30,1403.0,2010-04-16 14:37:31.140,2010-05-01 00:00:00.000,,,146742.0,1608.0,417053.0,582458.0
,62406.0,128,1403.0,2010-05-17 08:24:08.923,2010-06-01 00:00:00.000,,,149401.0,1608.0,417053.0,582458.0
,60726.0,58,1448.0,2010-04-21 09:56:27.397,2010-04-08 23:59:59.000,,,147202.0,1654.0,417228.0,535592.0
,60596.0,52,1561.0,2010-04-19 12:00:57.437,2010-04-06 23:59:59.000,,,146996.0,1770.0,419097.0,534988.0
,53824.0,17,1590.0,2010-04-12 09:06:46.427,2010-04-27 23:59:59.000,,,127434.0,1801.0,419178.0,536957.0
,53826.0,19,1486.0,2010-04-12 09:06:54.350,2010-04-27 23:59:59.000,,,127438.0,1692.0,419179.0,541829.0
,61182.0,69,1378.0,2010-04-27 09:13:02.017,2010-05-12 23:59:59.000,,,147845.0,1581.0,419239.0,420280.0
,61182.0,69,1378.0,2010-04-27 09:13:02.017,2010-05-12 23:59:59.000,,,147845.0,1581.0,419239.0,543656.0
,53882.0,24,1511.0,2010-04-13 08:57:35.067,2010-04-28 23:59:59.000,,,127544.0,1717.0,419876.0,536668.0
,60726.0,58,1448.0,2010-04-21 09:56:27.397,2010-04-08 23:59:59.000,,,147203.0,1654.0,419996.0,535593.0
,60491.0,41,1560.0,2010-04-17 09:50:31.877,2010-04-09 23:59:59.000,,,146815.0,1769.0,533764.0,534490.0
,60431.0,28,1593.0,2010-04-16 14:37:23.077,2010-05-01 00:00:00.000,,,146737.0,1804.0,535637.0,544222.0
,60432.0,29,1403.0,2010-04-16 14:37:27.860,2010-05-01 00:00:00.000,,,146740.0,1604.0,535638.0,582461.0
,62406.0,128,1403.0,2010-05-17 08:24:08.923,2010-06-01 00:00:00.000,,,149396.0,1604.0,535638.0,582461.0
,60433.0,30,1403.0,2010-04-16 14:37:31.140,2010-05-01 00:00:00.000,,,146743.0,1608.0,535639.0,582462.0
,62406.0,128,1403.0,2010-05-17 08:24:08.923,2010-06-01 00:00:00.000,,,149402.0,1608.0,535639.0,582462.0
,60434.0,31,1400.0,2010-04-16 14:37:45.627,2010-05-01 00:00:00.000,,,146744.0,1605.0,535640.0,539123.0
,60435.0,32,1375.0,2010-04-16 14:37:48.813,2010-05-01 00:00:00.000,,,146745.0,1578.0,535641.0,539231.0
,60436.0,33,1299.0,2010-04-16 14:37:51.923,2010-05-01 00:00:00.000,,,146748.0,1502.0,535642.0,537522.0
,60480.0,36,1358.0,2010-04-17 09:00:01.157,2010-05-02 23:59:59.000,,,146803.0,1561.0,535786.0,538734.0
,60568.0,42,1467.0,2010-04-19 09:18:59.233,2010-05-03 23:59:59.000,,,146957.0,1673.0,536154.0,540039.0
,60668.0,53,1392.0,2010-04-20 09:07:53.203,2010-05-05 23:59:59.000,,,147125.0,1596.0,536521.0,541559.0
,60722.0,54,1325.0,2010-04-21 09:54:23.287,2010-05-06 23:59:59.000,,,147198.0,1528.0,536854.0,540909.0
,60723.0,55,1598.0,2010-04-21 09:54:28.927,2010-05-06 23:59:59.000,,,147199.0,1810.0,536855.0,542179.0
,60725.0,57,7681.0,2010-04-21 09:54:37.083,2010-05-06 23:59:59.000,,,147201.0,1749.0,536856.0,548995.0
,62949.0,152,7681.0,2010-05-22 09:35:41.883,2010-06-06 23:59:59.000,,,151132.0,1749.0,536856.0,548995.0
,60763.0,59,1604.0,2010-04-22 08:10:59.973,2010-05-07 23:59:59.000,,,147244.0,1816.0,537042.0,538439.0
,60764.0,60,1605.0,2010-04-22 08:11:04.147,2010-05-07 23:59:59.000,,,147245.0,1817.0,537043.0,542725.0
,60813.0,61,1295.0,2010-04-23 08:26:49.733,2010-05-08 23:59:59.000,,,147303.0,1825.0,537242.0,542931.0
,60848.0,62,19424.0,2010-04-24 10:31:14.280,2010-05-09 23:59:59.000,,,147349.0,22314.0,537551.0,543655.0
,60917.0,68,1543.0,2010-04-26 08:51:46.250,2010-04-25 23:59:59.000,,,147456.0,1751.0,537696.0,536952.0
,60909.0,66,1405.0,2010-04-26 08:50:23.877,2010-05-10 23:59:59.000,,,147442.0,1610.0,537892.0,542427.0
,60910.0,67,1602.0,2010-04-26 08:50:28.720,2010-05-10 23:59:59.000,,,147443.0,1814.0,537893.0,540681.0
,61185.0,72,1418.0,2010-04-27 09:27:44.563,2010-04-27 23:59:59.000,,,147848.0,1624.0,538421.0,537303.0
,61184.0,71,1431.0,2010-04-27 09:26:24.423,2010-04-27 23:59:59.000,,,147847.0,1637.0,538423.0,537302.0
,61183.0,70,1436.0,2010-04-27 09:13:15.657,2010-05-12 23:59:59.000,,,147846.0,1642.0,538510.0,544731.0
,61215.0,75,1310.0,2010-04-28 08:11:12.943,2010-04-28 23:59:59.000,,,147886.0,1513.0,538727.0,537714.0
,61218.0,78,1342.0,2010-04-28 08:12:29.317,2010-04-28 23:59:59.000,,,147889.0,1545.0,538728.0,537717.0
,61213.0,73,1394.0,2010-04-28 08:10:24.740,2010-04-28 23:59:59.000,,,147884.0,1598.0,538729.0,537712.0
,61214.0,74,1469.0,2010-04-28 08:10:52.567,2010-04-28 23:59:59.000,,,147885.0,1675.0,538731.0,537713.0
,61217.0,77,1497.0,2010-04-28 08:12:01.863,2010-04-28 23:59:59.000,,,147888.0,1703.0,538733.0,537716.0
,61216.0,76,1525.0,2010-04-28 08:11:36.380,2010-04-28 23:59:59.000,,,147887.0,1732.0,538735.0,537715.0
,63018.0,157,1596.0,2010-05-24 08:24:20.180,2010-05-23 23:59:59.000,,,151237.0,1808.0,538874.0,537744.0
,63018.0,157,1596.0,2010-05-24 08:24:20.180,2010-05-23 23:59:59.000,,,151237.0,1808.0,538874.0,547923.0
,61352.0,84,1309.0,2010-05-01 08:18:44.827,2010-05-01 00:00:00.000,,,148076.0,1512.0,539918.0,539124.0
,61349.0,81,1330.0,2010-05-01 08:16:28.703,2010-05-01 00:00:00.000,,,148073.0,1533.0,539919.0,539120.0
,61351.0,83,1339.0,2010-05-01 08:17:24.250,2010-05-01 00:00:00.000,,,148075.0,1542.0,539920.0,539122.0
,61353.0,85,1371.0,2010-05-01 08:19:10.970,2010-05-01 00:00:00.000,,,148077.0,1574.0,539925.0,539125.0
,61348.0,80,1508.0,2010-05-01 08:16:04.470,2010-05-01 00:00:00.000,,,148072.0,1714.0,539936.0,539119.0
,61350.0,82,1605.0,2010-05-01 08:16:55.280,2010-05-01 00:00:00.000,,,148074.0,1822.0,539945.0,539121.0
,61647.0,90,1319.0,2010-05-03 10:01:59.640,2010-05-02 23:59:59.000,,,148437.0,1522.0,542203.0,540057.0
,61643.0,86,1529.0,2010-05-03 09:29:47.970,2010-05-02 23:59:59.000,,,148433.0,1736.0,542206.0,540024.0
,61645.0,88,1390.0,2010-05-03 09:39:20.593,2010-05-03 23:59:59.000,,,148435.0,1594.0,542422.0,540041.0
,61644.0,87,1595.0,2010-05-03 09:38:54.220,2010-05-03 23:59:59.000,,,148434.0,1807.0,542427.0,540040.0
,61646.0,89,1601.0,2010-05-03 10:01:11.483,2010-05-03 23:59:59.000,,,148436.0,1813.0,542428.0,540052.0
,61905.0,94,1380.0,2010-05-04 11:32:01.497,2010-05-04 23:59:59.000,,,148712.0,1583.0,542815.0,541003.0
,61906.0,95,1472.0,2010-05-04 11:32:26.200,2010-05-04 23:59:59.000,,,148713.0,1678.0,542817.0,541006.0
,61904.0,93,1557.0,2010-05-04 11:31:37.450,2010-05-04 23:59:59.000,,,148711.0,1766.0,542819.0,541002.0
,61903.0,92,1567.0,2010-05-04 11:31:09.480,2010-05-04 23:59:59.000,,,148710.0,1776.0,542820.0,541001.0
,61922.0,96,1340.0,2010-05-05 08:18:22.653,2010-05-05 23:59:59.000,,,148730.0,1757.0,543504.0,541558.0
,61972.0,102,1356.0,2010-05-06 09:27:32.980,2010-05-06 23:59:59.000,,,148800.0,1559.0,544839.0,542178.0
,61967.0,97,1329.0,2010-05-06 09:17:07.323,2010-05-21 23:59:59.000,,,148795.0,1532.0,545177.0,547339.0
,61968.0,98,1303.0,2010-05-06 09:17:12.387,2010-05-21 23:59:59.000,,,148796.0,1506.0,545178.0,547547.0
,61969.0,99,7681.0,2010-05-06 09:17:21.763,2010-05-21 23:59:59.000,,,148797.0,8211.0,545179.0,548997.0
,61970.0,100,1322.0,2010-05-06 09:26:21.730,2010-05-20 23:59:59.000,,,148798.0,1525.0,545180.0,582976.0
,61971.0,101,1468.0,2010-05-06 09:26:25.590,2010-05-20 23:59:59.000,,,148799.0,1674.0,545181.0,546872.0
,62034.0,104,1404.0,2010-05-07 09:20:03.543,2010-05-07 23:59:59.000,,,148879.0,1609.0,545368.0,542726.0
,62241.0,119,1539.0,2010-05-12 14:27:04.220,2010-05-07 23:59:59.000,,,149160.0,1746.0,545370.0,544569.0
,62035.0,105,1310.0,2010-05-07 09:20:39.090,2010-05-07 23:59:59.000,,,148880.0,1789.0,545371.0,542727.0
,62406.0,128,1403.0,2010-05-17 08:24:08.923,2010-06-01 00:00:00.000,,,149397.0,1604.0,545379.0,582463.0
,62406.0,128,1403.0,2010-05-17 08:24:08.923,2010-06-01 00:00:00.000,,,149403.0,1608.0,545380.0,582464.0
,62033.0,103,1441.0,2010-05-07 09:05:17.310,2010-05-22 23:59:59.000,,,148878.0,1647.0,545490.0,547686.0
,62061.0,106,1448.0,2010-05-08 08:50:04.620,2010-05-08 23:59:59.000,,,148925.0,1654.0,545649.0,543153.0
,62062.0,107,1605.0,2010-05-08 08:53:06.340,2010-05-08 23:59:59.000,,,148926.0,1823.0,545650.0,543154.0
,62584.0,137,1440.0,2010-05-18 08:19:10.773,2010-05-18 23:59:59.000,,,149905.0,1818.0,545801.0,543251.0
,62584.0,137,1440.0,2010-05-18 08:19:10.773,2010-05-18 23:59:59.000,,,149905.0,1818.0,545801.0,546255.0
,62139.0,110,1460.0,2010-05-10 09:26:53.577,2010-05-09 23:59:59.000,,,149031.0,1666.0,545905.0,543643.0
,62138.0,109,1408.0,2010-05-10 09:25:13.250,2010-05-10 23:59:59.000,,,149030.0,1613.0,546068.0,543641.0
,62140.0,111,1455.0,2010-05-10 09:27:50.797,2010-05-10 23:59:59.000,,,149032.0,1661.0,546070.0,543644.0
,62193.0,113,1457.0,2010-05-11 12:40:43.877,2010-05-11 23:59:59.000,,,149109.0,1663.0,546375.0,544189.0
,62192.0,112,1337.0,2010-05-11 12:40:13.343,2010-05-26 23:59:59.000,,,149108.0,1540.0,546716.0,544178.0
,62192.0,112,1337.0,2010-05-11 12:40:13.343,2010-05-26 23:59:59.000,,,149108.0,1540.0,546716.0,585171.0
,62208.0,114,1340.0,2010-05-12 08:11:55.140,2010-05-12 23:59:59.000,,,149126.0,1543.0,546877.0,544421.0
,62210.0,116,1360.0,2010-05-12 08:13:04.687,2010-05-12 23:59:59.000,,,149128.0,1563.0,546878.0,544423.0
,62209.0,115,19464.0,2010-05-12 08:12:36.093,2010-05-12 23:59:59.000,,,149127.0,22398.0,546880.0,544422.0
,62948.0,151,1417.0,2010-05-22 09:35:38.163,2010-06-06 23:59:59.000,,,151129.0,1623.0,546882.0,548776.0
,62949.0,152,7681.0,2010-05-22 09:35:41.883,2010-06-06 23:59:59.000,,,151133.0,1749.0,546884.0,548996.0
,62211.0,117,1590.0,2010-05-12 08:17:55.173,2010-05-27 23:59:59.000,,,149129.0,1801.0,546981.0,584565.0
,62212.0,118,1486.0,2010-05-12 08:17:58.767,2010-05-27 23:59:59.000,,,149130.0,1692.0,546982.0,546757.0
,62247.0,121,1333.0,2010-05-13 08:31:08.517,2010-05-13 23:59:59.000,,,149169.0,1536.0,547153.0,544727.0
,62248.0,122,1365.0,2010-05-13 08:31:32.327,2010-05-13 23:59:59.000,,,149170.0,1568.0,547154.0,544728.0
,62406.0,128,1403.0,2010-05-17 08:24:08.923,2010-06-01 00:00:00.000,,,149398.0,1604.0,547185.0,582459.0
,62406.0,128,1403.0,2010-05-17 08:24:08.923,2010-06-01 00:00:00.000,,,149404.0,1608.0,547186.0,582460.0
,62246.0,120,1511.0,2010-05-13 08:30:38.407,2010-05-28 23:59:59.000,,,149168.0,1717.0,547297.0,547707.0
,62319.0,126,1357.0,2010-05-14 14:43:34.767,2010-05-14 23:59:59.000,,,149264.0,1560.0,547459.0,545261.0
,62312.0,124,1386.0,2010-05-14 14:18:28.907,2010-05-14 23:59:59.000,,,149257.0,1590.0,547460.0,545242.0
,62318.0,125,1391.0,2010-05-14 14:37:11.780,2010-05-14 23:59:59.000,,,149263.0,1595.0,547461.0,545260.0
,62311.0,123,1495.0,2010-05-14 14:17:55.733,2010-05-29 23:59:59.000,,,149256.0,8222.0,547639.0,581297.0
,62727.0,147,1482.0,2010-05-20 08:33:03.587,2010-05-15 23:59:59.000,,,150103.0,1688.0,547731.0,546873.0
,62411.0,133,1554.0,2010-05-17 08:25:14.173,2010-05-16 23:59:59.000,,,149412.0,1763.0,548007.0,545862.0
,62412.0,134,1310.0,2010-05-17 08:35:01.983,2010-05-17 23:59:59.000,,,149413.0,1806.0,548226.0,545868.0
,62406.0,128,1403.0,2010-05-17 08:24:08.923,2010-06-01 00:00:00.000,,,149399.0,1604.0,548231.0,582465.0
,62406.0,128,1403.0,2010-05-17 08:24:08.923,2010-06-01 00:00:00.000,,,149405.0,1608.0,548232.0,582466.0
,62405.0,127,1593.0,2010-05-17 08:24:04.250,2010-06-01 00:00:00.000,,,149393.0,1804.0,548342.0,581291.0
,62406.0,128,1403.0,2010-05-17 08:24:08.923,2010-06-01 00:00:00.000,,,149406.0,1604.0,548343.0,582467.0
,62406.0,128,1403.0,2010-05-17 08:24:08.923,2010-06-01 00:00:00.000,,,149407.0,1608.0,548344.0,582468.0
,62407.0,129,1400.0,2010-05-17 08:24:13.140,2010-06-01 00:00:00.000,,,149408.0,1605.0,548345.0,581319.0
,62408.0,130,1375.0,2010-05-17 08:24:16.110,2010-06-01 00:00:00.000,,,149409.0,1578.0,548346.0,582766.0
,62409.0,131,1299.0,2010-05-17 08:24:19.953,2010-06-01 00:00:00.000,,,149410.0,1502.0,548347.0,547717.0
,62410.0,132,1433.0,2010-05-17 08:24:23.047,2010-06-01 00:00:00.000,,,149411.0,1639.0,548348.0,546904.0
,62585.0,138,1341.0,2010-05-18 08:19:46.680,2010-05-18 23:59:59.000,,,149906.0,1544.0,548772.0,546256.0
,62586.0,139,1525.0,2010-05-18 08:20:06.180,2010-05-18 23:59:59.000,,,149907.0,1781.0,548775.0,546257.0
,62582.0,135,1449.0,2010-05-18 08:18:47.163,2010-06-02 23:59:59.000,,,149903.0,1655.0,548909.0,548683.0
,62583.0,136,1358.0,2010-05-18 08:18:52.790,2010-06-02 23:59:59.000,,,149904.0,1561.0,548910.0,581236.0
,62688.0,144,1344.0,2010-05-19 09:43:41.227,2010-05-19 23:59:59.000,,,150052.0,1547.0,549084.0,546626.0
