Totals & Averages,INVOICEID,IINVOICENUM,TENANTID,DINVOICED,DDUE,DPAIDTHRU,DDELETED,INVOICEDETAILID,LEDGERID,CHARGEID
,53659,1,1322,2010-04-08 14:03:37.193000,2010-04-20 23:59:59,,,127226,1525,29021
,53660,2,1378,2010-04-08 14:03:41.490000,2010-04-12 23:59:59,,,127227,1581,29077
,53661,3,1441,2010-04-08 14:03:44.833000,2010-04-22 23:59:59,,,127228,1647,28840
,53662,4,1468,2010-04-08 14:03:48.317000,2010-04-20 23:59:59,,,127229,1674,28867
,53663,5,1403,2010-04-08 14:03:51.927000,2010-04-01 00:00:00,,,127230,1604,403071
,53663,5,1403,2010-04-08 14:03:51.927000,2010-04-01 00:00:00,,,127231,1604,417052
,53664,6,1403,2010-04-08 14:03:55.567000,2010-04-01 00:00:00,,,127232,1608,403072
,53664,6,1403,2010-04-08 14:03:55.567000,2010-04-01 00:00:00,,,127233,1608,417053
,53665,7,1520,2010-04-08 14:03:59.333000,2010-04-19 23:59:59,,,127234,1726,28919
,53666,8,1329,2010-04-08 14:04:02.710000,2010-04-21 23:59:59,,,127235,1532,29028
,53667,9,1486,2010-04-08 14:04:07.460000,2010-04-27 23:59:59,,,127236,1692,28885
,53667,9,1486,2010-04-08 14:04:07.460000,2010-04-27 23:59:59,,,127237,1692,404917
,53668,10,1436,2010-04-08 14:04:11.303000,2010-04-12 23:59:59,,,127238,1642,28835
,53669,11,1303,2010-04-08 14:04:15.020000,2010-04-21 23:59:59,,,127239,1506,29002
,53670,12,1299,2010-04-08 14:04:19.520000,2010-04-01 00:00:00,,,127240,1502,403069
,53670,12,1299,2010-04-08 14:04:19.520000,2010-04-01 00:00:00,,,127241,1502,417050
,53671,13,1376,2010-04-08 14:05:57.397000,2010-04-04 23:59:59,,,127242,1579,29075
,53690,14,1460,2010-04-09 10:58:17.380000,2010-04-09 23:59:59,,,127266,1666,28859
,53717,15,1408,2010-04-10 08:37:31.817000,2010-04-10 23:59:59,,,127315,1613,28806
,53718,16,1455,2010-04-10 08:39:45.520000,2010-04-10 23:59:59,,,127316,1661,28854
,53824,17,1590,2010-04-12 09:06:46.427000,2010-04-27 23:59:59,,,127434,1801,419178
,53825,18,1337,2010-04-12 09:06:51.427000,2010-04-26 23:59:59,,,127435,1540,416471
,53826,19,1486,2010-04-12 09:06:54.350000,2010-04-27 23:59:59,,,127436,1692,28885
,53826,19,1486,2010-04-12 09:06:54.350000,2010-04-27 23:59:59,,,127437,1692,404917
,53826,19,1486,2010-04-12 09:06:54.350000,2010-04-27 23:59:59,,,127438,1692,419179
,53827,20,1457,2010-04-12 09:08:24.117000,2010-04-11 23:59:59,,,127439,1663,28856
,53828,21,1340,2010-04-12 09:09:48.413000,2010-04-12 23:59:59,,,127440,1543,29039
,53829,22,1360,2010-04-12 09:11:16.787000,2010-04-12 23:59:59,,,127441,1563,29059
,53881,23,1333,2010-04-13 08:53:28.397000,2010-04-13 23:59:59,,,127543,1536,29032
,53882,24,1511,2010-04-13 08:57:35.067000,2010-04-28 23:59:59,,,127544,1717,419876
,53900,25,1495,2010-04-14 08:40:45.703000,2010-04-29 23:59:59,,,127571,8222,130416
,53901,26,1391,2010-04-14 08:44:09.250000,2010-04-14 23:59:59,,,127572,1595,29091
,53902,27,1386,2010-04-14 08:44:34.673000,2010-04-14 23:59:59,,,127573,1590,29086
,60431,28,1593,2010-04-16 14:37:23.077000,2010-05-01 00:00:00,,,146737,1804,535637
,60432,29,1403,2010-04-16 14:37:27.860000,2010-05-01 00:00:00,,,146738,1604,403071
,60432,29,1403,2010-04-16 14:37:27.860000,2010-05-01 00:00:00,,,146739,1604,417052
,60432,29,1403,2010-04-16 14:37:27.860000,2010-05-01 00:00:00,,,146740,1604,535638
,60433,30,1403,2010-04-16 14:37:31.140000,2010-05-01 00:00:00,,,146741,1608,403072
,60433,30,1403,2010-04-16 14:37:31.140000,2010-05-01 00:00:00,,,146742,1608,417053
,60433,30,1403,2010-04-16 14:37:31.140000,2010-05-01 00:00:00,,,146743,1608,535639
,60434,31,1400,2010-04-16 14:37:45.627000,2010-05-01 00:00:00,,,146744,1605,535640
,60435,32,1375,2010-04-16 14:37:48.813000,2010-05-01 00:00:00,,,146745,1578,535641
,60436,33,1299,2010-04-16 14:37:51.923000,2010-05-01 00:00:00,,,146746,1502,403069
,60436,33,1299,2010-04-16 14:37:51.923000,2010-05-01 00:00:00,,,146747,1502,417050
,60436,33,1299,2010-04-16 14:37:51.923000,2010-05-01 00:00:00,,,146748,1502,535642
,60437,34,1433,2010-04-16 14:37:55.267000,2010-05-01 00:00:00,,,146749,1639,28832
,60477,35,1449,2010-04-17 08:59:57.203000,2010-05-02 23:59:59,,,146800,1655,28848
,60480,36,1358,2010-04-17 09:00:01.157000,2010-05-02 23:59:59,,,146803,1561,535786
,60487,37,1554,2010-04-17 09:46:57.937000,2010-04-16 23:59:59,,,146810,1763,28956
,60488,38,1365,2010-04-17 09:48:16.233000,2010-04-13 23:59:59,,,146811,1568,29064
,60489,39,1310,2010-04-17 09:49:10.233000,2010-04-17 23:59:59,,,146812,1806,29100
,60490,40,1357,2010-04-17 09:49:49.657000,2010-04-14 23:59:59,,,146813,1560,29056
,60491,41,1560,2010-04-17 09:50:31.877000,2010-04-09 23:59:59,,,146814,1769,28962
,60491,41,1560,2010-04-17 09:50:31.877000,2010-04-09 23:59:59,,,146815,1769,533764
,60568,42,1467,2010-04-19 09:18:59.233000,2010-05-03 23:59:59,,,146957,1673,536154
,60569,43,1501,2010-04-19 09:19:03.407000,2010-05-03 23:59:59,,,146958,1707,28900
,60588,44,1440,2010-04-19 11:57:58.453000,2010-04-18 23:59:59,,,146987,1818,29112
,60589,45,1292,2010-04-19 11:58:27.627000,2010-04-19 23:59:59,,,146988,1820,29114
,60590,46,1363,2010-04-19 11:58:49.827000,2010-04-19 23:59:59,,,146989,1566,29062
,60591,47,1341,2010-04-19 11:59:10.703000,2010-04-18 23:59:59,,,146990,1544,29040
,60592,48,1344,2010-04-19 11:59:32.797000,2010-04-19 23:59:59,,,146991,1547,29043
,60593,49,1537,2010-04-19 11:59:57.843000,2010-04-19 23:59:59,,,146992,1744,28937
,60594,50,1525,2010-04-19 12:00:16.750000,2010-04-18 23:59:59,,,146993,1781,28974
,60595,51,1505,2010-04-19 12:00:35.327000,2010-04-19 23:59:59,,,146994,1711,28904
,60596,52,1561,2010-04-19 12:00:57.437000,2010-04-06 23:59:59,,,146995,1770,416608
,60596,52,1561,2010-04-19 12:00:57.437000,2010-04-06 23:59:59,,,146996,1770,419097
,60668,53,1392,2010-04-20 09:07:53.203000,2010-05-05 23:59:59,,,147125,1596,536521
,60722,54,1325,2010-04-21 09:54:23.287000,2010-05-06 23:59:59,,,147198,1528,536854
,60723,55,1598,2010-04-21 09:54:28.927000,2010-05-06 23:59:59,,,147199,1810,536855
,60724,56,1417,2010-04-21 09:54:32.833000,2010-05-06 23:59:59,,,147200,1623,28816
,60725,57,7681,2010-04-21 09:54:37.083000,2010-05-06 23:59:59,,,147201,1749,536856
,60726,58,1448,2010-04-21 09:56:27.397000,2010-04-08 23:59:59,,,147202,1654,417228
,60726,58,1448,2010-04-21 09:56:27.397000,2010-04-08 23:59:59,,,147203,1654,419996
,60763,59,1604,2010-04-22 08:10:59.973000,2010-05-07 23:59:59,,,147244,1816,537042
,60764,60,1605,2010-04-22 08:11:04.147000,2010-05-07 23:59:59,,,147245,1817,537043
,60813,61,1295,2010-04-23 08:26:49.733000,2010-05-08 23:59:59,,,147303,1825,537242
,60848,62,19424,2010-04-24 10:31:14.280000,2010-05-09 23:59:59,,,147349,22314,537551
,60849,63,1421,2010-04-24 10:32:06.767000,2010-04-24 23:59:59,,,147350,1627,28820
,60850,64,1377,2010-04-24 10:32:55.437000,2010-04-24 23:59:59,,,147351,1580,29076
,60851,65,1310,2010-04-24 10:33:51.343000,2010-04-24 23:59:59,,,147352,1602,29098
,60909,66,1405,2010-04-26 08:50:23.877000,2010-05-10 23:59:59,,,147442,1610,537892
,60910,67,1602,2010-04-26 08:50:28.720000,2010-05-10 23:59:59,,,147443,1814,537893
,60917,68,1543,2010-04-26 08:51:46.250000,2010-04-25 23:59:59,,,147456,1751,537696
,61182,69,1378,2010-04-27 09:13:02.017000,2010-05-12 23:59:59,,,147845,1581,419239
,61183,70,1436,2010-04-27 09:13:15.657000,2010-05-12 23:59:59,,,147846,1642,538510
