Totals & Averages,INVOICEID,IINVOICENUM,TENANTID,DINVOICED,DDUE,DPAIDTHRU,DDELETED,INVOICEDETAILID,LEDGERID,CHARGEID,PAYMENTID,EMPLOYEEID
,53717,15,1408,2010-04-10 08:37:31.817000,2010-04-10 23:59:59,,,127315,1613,28806,419780,91
,60724,56,1417,2010-04-21 09:54:32.833000,2010-05-06 23:59:59,,,147200,1623,28816,548775,93
,62948,151,1417,2010-05-22 09:35:38.163000,2010-06-06 23:59:59,,,151128,1623,28816,548775,93
,60849,63,1421,2010-04-24 10:32:06.767000,2010-04-24 23:59:59,,,147350,1627,28820,536636,93
,60437,34,1433,2010-04-16 14:37:55.267000,2010-05-01 00:00:00,,,146749,1639,28832,535620,93
,53668,10,1436,2010-04-08 14:04:11.303000,2010-04-12 23:59:59,,,127238,1642,28835,420755,91
,53661,3,1441,2010-04-08 14:03:44.833000,2010-04-22 23:59:59,,,127228,1647,28840,535821,91
,60477,35,1449,2010-04-17 08:59:57.203000,2010-05-02 23:59:59,,,146800,1655,28848,536669,93
,53718,16,1455,2010-04-10 08:39:45.520000,2010-04-10 23:59:59,,,127316,1661,28854,419781,91
,53827,20,1457,2010-04-12 09:08:24.117000,2010-04-11 23:59:59,,,127439,1663,28856,420262,94
,53690,14,1460,2010-04-09 10:58:17.380000,2010-04-09 23:59:59,,,127266,1666,28859,419514,91
,53662,4,1468,2010-04-08 14:03:48.317000,2010-04-20 23:59:59,,,127229,1674,28867,535287,91
,53667,9,1486,2010-04-08 14:04:07.460000,2010-04-27 23:59:59,,,127236,1692,28885,534608,91
,53826,19,1486,2010-04-12 09:06:54.350000,2010-04-27 23:59:59,,,127436,1692,28885,534608,94
,60569,43,1501,2010-04-19 09:19:03.407000,2010-05-03 23:59:59,,,146958,1707,28900,538465,93
,60595,51,1505,2010-04-19 12:00:35.327000,2010-04-19 23:59:59,,,146994,1711,28904,534984,93
,61327,79,1518,2010-04-30 08:17:27.233000,2010-05-15 23:59:59,,,148048,1724,28917,582964,91
,69629,174,1518,2010-06-01 13:30:16.907000,2010-06-15 23:59:59,,,162225,1724,28917,582964,93
,53665,7,1520,2010-04-08 14:03:59.333000,2010-04-19 23:59:59,,,127234,1726,28919,534371,91
,60593,49,1537,2010-04-19 11:59:57.843000,2010-04-19 23:59:59,,,146992,1744,28937,534982,93
,60487,37,1554,2010-04-17 09:46:57.937000,2010-04-16 23:59:59,,,146810,1763,28956,534485,93
,60491,41,1560,2010-04-17 09:50:31.877000,2010-04-09 23:59:59,,,146814,1769,28962,534489,93
,60594,50,1525,2010-04-19 12:00:16.750000,2010-04-18 23:59:59,,,146993,1781,28974,534983,93
,53669,11,1303,2010-04-08 14:04:15.020000,2010-04-21 23:59:59,,,127239,1506,29002,540089,91
,53659,1,1322,2010-04-08 14:03:37.193000,2010-04-20 23:59:59,,,127226,1525,29021,419844,91
,53666,8,1329,2010-04-08 14:04:02.710000,2010-04-21 23:59:59,,,127235,1532,29028,535594,91
,53881,23,1333,2010-04-13 08:53:28.397000,2010-04-13 23:59:59,,,127543,1536,29032,420754,91
,53828,21,1340,2010-04-12 09:09:48.413000,2010-04-12 23:59:59,,,127440,1543,29039,420265,94
,60591,47,1341,2010-04-19 11:59:10.703000,2010-04-18 23:59:59,,,146990,1544,29040,534980,93
,60592,48,1344,2010-04-19 11:59:32.797000,2010-04-19 23:59:59,,,146991,1547,29043,534981,93
,60490,40,1357,2010-04-17 09:49:49.657000,2010-04-14 23:59:59,,,146813,1560,29056,534488,93
,53829,22,1360,2010-04-12 09:11:16.787000,2010-04-12 23:59:59,,,127441,1563,29059,420268,94
,60590,46,1363,2010-04-19 11:58:49.827000,2010-04-19 23:59:59,,,146989,1566,29062,534979,93
,60488,38,1365,2010-04-17 09:48:16.233000,2010-04-13 23:59:59,,,146811,1568,29064,534486,93
,53671,13,1376,2010-04-08 14:05:57.397000,2010-04-04 23:59:59,,,127242,1579,29075,419211,91
,60850,64,1377,2010-04-24 10:32:55.437000,2010-04-24 23:59:59,,,147351,1580,29076,536637,93
,53660,2,1378,2010-04-08 14:03:41.490000,2010-04-12 23:59:59,,,127227,1581,29077,420279,91
,62063,108,1379,2010-05-08 08:54:36.653000,2010-05-23 23:59:59,,,148927,1582,29078,546724,95
,53902,27,1386,2010-04-14 08:44:34.673000,2010-04-14 23:59:59,,,127573,1590,29086,421042,91
,61902,91,1388,2010-05-04 11:30:47.997000,2010-05-04 23:59:59,,,148709,1592,29088,541000,93
,53901,26,1391,2010-04-14 08:44:09.250000,2010-04-14 23:59:59,,,127572,1595,29091,421041,91
,60851,65,1310,2010-04-24 10:33:51.343000,2010-04-24 23:59:59,,,147352,1602,29098,536638,93
,60489,39,1310,2010-04-17 09:49:10.233000,2010-04-17 23:59:59,,,146812,1806,29100,534487,93
,60588,44,1440,2010-04-19 11:57:58.453000,2010-04-18 23:59:59,,,146987,1818,29112,534977,93
,60589,45,1292,2010-04-19 11:58:27.627000,2010-04-19 23:59:59,,,146988,1820,29114,534978,93
,53900,25,1495,2010-04-14 08:40:45.703000,2010-04-29 23:59:59,,,127571,8222,130416,539219,91
,53670,12,1299,2010-04-08 14:04:19.520000,2010-04-01 00:00:00,,,127240,1502,403069,537520,91
,60436,33,1299,2010-04-16 14:37:51.923000,2010-05-01 00:00:00,,,146746,1502,403069,537520,93
,53663,5,1403,2010-04-08 14:03:51.927000,2010-04-01 00:00:00,,,127230,1604,403071,582455,91
,60432,29,1403,2010-04-16 14:37:27.860000,2010-05-01 00:00:00,,,146738,1604,403071,582455,93
,62406,128,1403,2010-05-17 08:24:08.923000,2010-06-01 00:00:00,,,149394,1604,403071,582455,91
,53664,6,1403,2010-04-08 14:03:55.567000,2010-04-01 00:00:00,,,127232,1608,403072,582456,91
,60433,30,1403,2010-04-16 14:37:31.140000,2010-05-01 00:00:00,,,146741,1608,403072,582456,93
,62406,128,1403,2010-05-17 08:24:08.923000,2010-06-01 00:00:00,,,149400,1608,403072,582456,91
,53667,9,1486,2010-04-08 14:04:07.460000,2010-04-27 23:59:59,,,127237,1692,404917,534609,91
,53826,19,1486,2010-04-12 09:06:54.350000,2010-04-27 23:59:59,,,127437,1692,404917,534609,94
,53825,18,1337,2010-04-12 09:06:51.427000,2010-04-26 23:59:59,,,127435,1540,416471,417931,94
,53825,18,1337,2010-04-12 09:06:51.427000,2010-04-26 23:59:59,,,127435,1540,416471,544176,94
,60596,52,1561,2010-04-19 12:00:57.437000,2010-04-06 23:59:59,,,146995,1770,416608,534896,93
,60596,52,1561,2010-04-19 12:00:57.437000,2010-04-06 23:59:59,,,146995,1770,416608,534987,93
,53670,12,1299,2010-04-08 14:04:19.520000,2010-04-01 00:00:00,,,127241,1502,417050,537521,91
,60436,33,1299,2010-04-16 14:37:51.923000,2010-05-01 00:00:00,,,146747,1502,417050,537521,93
,53663,5,1403,2010-04-08 14:03:51.927000,2010-04-01 00:00:00,,,127231,1604,417052,582457,91
,60432,29,1403,2010-04-16 14:37:27.860000,2010-05-01 00:00:00,,,146739,1604,417052,582457,93
,62406,128,1403,2010-05-17 08:24:08.923000,2010-06-01 00:00:00,,,149395,1604,417052,582457,91
,53664,6,1403,2010-04-08 14:03:55.567000,2010-04-01 00:00:00,,,127233,1608,417053,582458,91
