Totals & Averages,PAYMENTID,LEDGERID,CHARGEID,PMTTYPEID,DPMT,DCPMTAMT,SCHECKNUM,BNSF,DCREATED,DDELETED,EMPLOYEEID
,41087.0,1812.0,29106.0,102.0,2010-03-25 14:24:35.187,135.0,12345,False,1900-01-03 00:00:00.000,,91.0
,41088.0,1812.0,28793.0,102.0,2010-03-25 14:24:35.187,15.0,12345,False,1900-01-03 00:00:00.000,,91.0
,41089.0,2954.0,41578.0,100.0,2010-03-25 14:27:22.030,63.0,,False,1900-01-03 00:00:00.000,,91.0
,41090.0,1751.0,28944.0,100.0,2010-03-25 14:29:00.093,46.0,,False,1900-01-03 00:00:00.000,,91.0
,41091.0,1683.0,28876.0,102.0,2010-03-25 14:30:06.250,69.0,12345,False,1900-01-03 00:00:00.000,,91.0
,41092.0,1716.0,28909.0,101.0,2010-03-25 14:31:37.983,196.36,12396,False,1900-01-03 00:00:00.000,,91.0
,41093.0,1502.0,28998.0,101.0,2010-03-25 14:32:19.673,63.0,14785,False,1900-01-03 00:00:00.000,,91.0
,41094.0,1697.0,28890.0,102.0,2010-03-25 14:33:19.547,63.0,14578,False,1900-01-03 00:00:00.000,,91.0
,41097.0,1758.0,28951.0,102.0,2010-03-25 16:19:51.843,103.0,1234,False,1900-01-03 00:00:00.000,,91.0
,41098.0,1758.0,28780.0,102.0,2010-03-25 16:19:51.843,15.0,1234,False,1900-01-03 00:00:00.000,,91.0
,41099.0,1698.0,28891.0,102.0,2010-03-25 16:25:54.063,63.0,1234,False,1900-01-03 00:00:00.000,,91.0
,41100.0,1508.0,29004.0,102.0,2010-03-25 16:34:33.733,63.0,1234,False,1900-01-03 00:00:00.000,,91.0
,52016.0,1632.0,28825.0,102.0,2010-03-26 15:03:53.750,55.0,1234,False,1900-01-03 00:00:00.000,,93.0
,52017.0,1632.0,28766.0,102.0,2010-03-26 15:03:53.750,15.0,1234,False,1900-01-03 00:00:00.000,,93.0
,52018.0,1587.0,29083.0,102.0,2010-03-26 15:05:30.937,127.0,1234,False,1900-01-03 00:00:00.000,,93.0
,52019.0,1588.0,29084.0,102.0,2010-03-26 15:06:29.627,127.0,1234,False,1900-01-03 00:00:00.000,,93.0
,52021.0,1721.0,28914.0,100.0,2010-03-26 15:10:36.547,46.0,,False,1900-01-03 00:00:00.000,,93.0
,52022.0,1721.0,28776.0,100.0,2010-03-26 15:10:36.547,15.0,,False,1900-01-03 00:00:00.000,,93.0
,52023.0,1652.0,28845.0,102.0,2010-03-26 15:11:37.453,63.0,1234,False,1900-01-03 00:00:00.000,,93.0
,52024.0,1809.0,29103.0,101.0,2010-03-26 15:12:38.483,200.0,1234,False,1900-01-03 00:00:00.000,,93.0
,52026.0,1676.0,28869.0,101.0,2010-03-26 15:13:38.280,119.0,1234,False,1900-01-03 00:00:00.000,,93.0
,52027.0,1827.0,29121.0,101.0,2010-03-26 15:14:29.687,207.0,1234,False,1900-01-03 00:00:00.000,,93.0
,52029.0,3478.0,52607.0,99.0,2010-03-26 15:58:09.297,0.0,,False,1900-01-03 00:00:00.000,,93.0
,52030.0,3478.0,52608.0,101.0,2010-03-26 15:58:50.860,83.0,1111,False,1900-01-03 00:00:00.000,,93.0
,52031.0,1717.0,28910.0,101.0,2010-03-26 16:10:11.093,46.0,1006,False,1900-01-03 00:00:00.000,,93.0
,52032.0,1730.0,28923.0,101.0,2010-03-26 16:11:21.890,103.0,1534,False,1900-01-03 00:00:00.000,,93.0
,52033.0,1730.0,28777.0,101.0,2010-03-26 16:11:21.890,30.0,1534,False,1900-01-03 00:00:00.000,,93.0
,52034.0,1624.0,28817.0,102.0,2010-03-26 16:31:01.657,63.0,1111,False,1900-01-03 00:00:00.000,,93.0
,52035.0,1637.0,28830.0,102.0,2010-03-26 16:32:14.970,83.0,1111,False,1900-01-03 00:00:00.000,,93.0
,94709.0,1571.0,29067.0,100.0,2010-03-27 09:27:20.203,98.0,,False,1900-01-03 00:00:00.000,,93.0
,94710.0,1720.0,28913.0,101.0,2010-03-27 09:43:53.517,63.0,1535,False,1900-01-03 00:00:00.000,,93.0
,94726.0,4890.0,92568.0,99.0,2010-03-27 13:51:00.063,0.0,,False,1900-01-03 00:00:00.000,,93.0
,94727.0,4890.0,92569.0,99.0,2010-03-27 13:51:00.063,0.0,,False,1900-01-03 00:00:00.000,,93.0
,94728.0,4890.0,92570.0,99.0,2010-03-27 13:51:00.063,0.0,,False,1900-01-03 00:00:00.000,,93.0
,94739.0,4893.0,92583.0,99.0,2010-03-27 16:12:58.890,0.0,,False,1900-01-03 00:00:00.000,,93.0
,94742.0,4893.0,92582.0,100.0,2010-03-27 16:21:48.437,50.0,,False,1900-01-03 00:00:00.000,,93.0
,94743.0,4894.0,92586.0,99.0,2010-03-27 16:33:15.077,0.0,,False,1900-01-03 00:00:00.000,,93.0
,94744.0,4894.0,92585.0,102.0,2010-03-27 16:34:04.563,93.0,1234,False,1900-01-03 00:00:00.000,,93.0
,94747.0,4895.0,92589.0,99.0,2010-03-27 16:43:59.313,0.0,,False,1900-01-03 00:00:00.000,,93.0
,94748.0,4895.0,92588.0,102.0,2010-03-27 16:44:49.343,75.0,1234,False,1900-01-03 00:00:00.000,,93.0
,94749.0,1586.0,29082.0,101.0,2010-03-27 16:47:20.640,127.0,149605,False,1900-01-03 00:00:00.000,,93.0
,94750.0,1706.0,28899.0,101.0,2010-03-27 16:49:55.827,125.0,655,False,1900-01-03 00:00:00.000,,93.0
,94751.0,1743.0,28936.0,102.0,2010-03-27 16:51:34.627,63.0,1234,False,1900-01-03 00:00:00.000,,93.0
,94752.0,1792.0,28985.0,102.0,2010-03-27 16:52:36.860,83.0,1234,False,1900-01-03 00:00:00.000,,93.0
,94753.0,1572.0,29068.0,100.0,2010-03-27 16:53:31.407,63.0,,False,1900-01-03 00:00:00.000,,93.0
,94835.0,1760.0,28953.0,99.0,2010-03-29 09:22:24.000,64.0,,False,1900-01-03 00:00:00.000,,91.0
,94836.0,1760.0,29149.0,99.0,2010-03-29 09:22:24.000,64.0,,False,1900-01-03 00:00:00.000,,91.0
,94837.0,1760.0,28781.0,99.0,2010-03-29 09:22:24.000,74.0,,False,1900-01-03 00:00:00.000,,91.0
,94838.0,1753.0,28946.0,101.0,2010-03-29 09:25:20.517,63.0,1111,False,1900-01-03 00:00:00.000,,91.0
,94839.0,1783.0,28976.0,101.0,2010-03-29 09:26:34.610,103.0,1111,False,1900-01-03 00:00:00.000,,91.0
,94840.0,1783.0,92665.0,101.0,2010-03-29 09:26:34.610,7.0,1111,False,1900-01-03 00:00:00.000,,91.0
,94841.0,1801.0,28994.0,101.0,2010-03-29 09:27:38.017,46.0,1111,False,1900-01-03 00:00:00.000,,91.0
,94842.0,4905.0,92666.0,99.0,2010-03-29 10:02:26.530,0.0,,False,1900-01-03 00:00:00.000,,91.0
,94843.0,4905.0,92668.0,99.0,2010-03-29 10:02:26.530,0.0,,False,1900-01-03 00:00:00.000,,91.0
,94844.0,4905.0,92667.0,101.0,2010-03-29 10:02:55.407,125.0,1111,False,1900-01-03 00:00:00.000,,91.0
,94845.0,4906.0,92669.0,99.0,2010-03-29 10:23:44.890,0.0,,False,1900-01-03 00:00:00.000,,91.0
,94846.0,4906.0,92671.0,99.0,2010-03-29 10:23:44.890,0.0,,False,1900-01-03 00:00:00.000,,91.0
,94847.0,4906.0,92670.0,101.0,2010-03-29 10:24:11.500,50.0,1111,False,1900-01-03 00:00:00.000,,91.0
,94848.0,4894.0,92672.0,99.0,2010-03-29 10:31:55.453,0.0,,False,1900-01-03 00:00:00.000,,91.0
,94849.0,4894.0,92673.0,99.0,2010-03-29 10:31:55.453,0.0,,False,1900-01-03 00:00:00.000,,91.0
,94850.0,4908.0,92674.0,99.0,2010-03-29 10:37:56.907,0.0,,False,1900-01-03 00:00:00.000,,91.0
,94851.0,4908.0,92676.0,99.0,2010-03-29 10:37:56.923,0.0,,False,1900-01-03 00:00:00.000,,91.0
,94852.0,4908.0,92675.0,100.0,2010-03-29 10:38:29.767,93.0,,False,1900-01-03 00:00:00.000,,91.0
,131300.0,8211.0,130405.0,99.0,2010-03-29 12:49:18.890,0.0,,False,1900-01-03 00:00:00.000,,91.0
,131312.0,1799.0,28992.0,101.0,2010-03-29 15:09:21.627,58.0,37112,False,1900-01-03 00:00:00.000,,91.0
,131313.0,1527.0,29023.0,101.0,2010-03-29 15:10:51.110,53.0,37112,False,1900-01-03 00:00:00.000,,91.0
,131315.0,8228.0,130431.0,100.0,2010-03-29 15:21:50.110,75.0,,False,1900-01-03 00:00:00.000,,91.0
,131318.0,1690.0,28883.0,100.0,2010-03-29 15:44:53.517,63.0,,False,1900-01-03 00:00:00.000,,91.0
,131319.0,1535.0,29031.0,101.0,2010-03-29 15:47:56.547,63.0,762,False,1900-01-03 00:00:00.000,,91.0
,131320.0,1535.0,130435.0,101.0,2010-03-29 15:47:56.547,63.0,762,False,1900-01-03 00:00:00.000,,91.0
,223871.0,1732.0,28925.0,102.0,2010-03-30 08:35:03.077,91.0,11111111111,False,1900-01-03 00:00:00.000,,91.0
,223872.0,1675.0,28868.0,102.0,2010-03-30 08:37:05.877,69.0,1211111,False,1900-01-03 00:00:00.000,,91.0
,223873.0,1513.0,29009.0,102.0,2010-03-30 08:38:11.780,89.0,111111,False,1900-01-03 00:00:00.000,,91.0
,223874.0,1545.0,29041.0,102.0,2010-03-30 08:39:51.767,63.0,11111,False,1900-01-03 00:00:00.000,,91.0
,223875.0,1601.0,29097.0,100.0,2010-03-30 08:46:08.673,50.0,,False,1900-01-03 00:00:00.000,,91.0
,223876.0,1601.0,225791.0,99.0,2010-03-30 08:46:09.220,15.0,,False,1900-01-03 00:00:00.000,,91.0
,223877.0,1703.0,28896.0,102.0,2010-03-30 08:47:46.687,93.0,1111,False,1900-01-03 00:00:00.000,,91.0
,223878.0,1728.0,28921.0,100.0,2010-03-30 08:51:52.470,103.0,,False,1900-01-03 00:00:00.000,,91.0
,260306.0,1774.0,28967.0,100.0,2010-03-30 10:09:47.610,63.0,,False,1900-01-03 00:00:00.000,,91.0
,260307.0,1656.0,28849.0,101.0,2010-03-30 10:31:03.970,63.0,11111,False,1900-01-03 00:00:00.000,,91.0
,260308.0,1578.0,29074.0,101.0,2010-03-30 10:31:50.780,115.0,1111,False,1900-01-03 00:00:00.000,,91.0
,260309.0,1702.0,28895.0,101.0,2010-03-30 10:32:30.173,220.0,1111,False,1900-01-03 00:00:00.000,,91.0
,260310.0,1611.0,28804.0,101.0,2010-03-30 11:08:19.187,63.0,111,False,1900-01-03 00:00:00.000,,91.0
,260311.0,16337.0,262617.0,99.0,2010-03-30 11:14:59.453,0.0,,False,1900-01-03 00:00:00.000,,91.0
