Totals & Averages,RECEIPTID,TENANTID,EMPLOYEEID,DCAMT,DRCPT,IRECEIPTNUM,PAYMENTID
,26143,1600,91,150,2010-03-25 14:24:35.187000,1,41087
,26143,1600,91,150,2010-03-25 14:24:35.187000,1,41088
,26144,2624,91,63,2010-03-25 14:27:22.030000,2,41089
,26145,1543,91,46,2010-03-25 14:29:00.093000,3,41090
,26146,1477,91,69,2010-03-25 14:30:06.250000,4,41091
,26147,1510,91,196.36,2010-03-25 14:31:37.983000,5,41092
,26148,1299,91,63,2010-03-25 14:32:19.673000,6,41093
,26149,1491,91,63,2010-03-25 14:33:19.547000,7,41094
,26152,1550,91,118,2010-03-25 16:19:51.843000,8,41097
,26152,1550,91,118,2010-03-25 16:19:51.843000,8,41098
,26153,157576,91,63,2010-03-25 16:25:54.063000,9,41099
,26154,1305,91,63,2010-03-25 16:34:33.733000,10,41100
,34249,1426,93,70,2010-03-26 15:03:53.750000,11,52016
,34249,1426,93,70,2010-03-26 15:03:53.750000,11,52017
,34250,1384,93,127,2010-03-26 15:05:30.937000,12,52018
,34251,1384,93,127,2010-03-26 15:06:29.627000,13,52019
,34253,1515,93,61,2010-03-26 15:10:36.547000,14,52021
,34253,1515,93,61,2010-03-26 15:10:36.547000,14,52022
,34254,1446,93,63,2010-03-26 15:11:37.453000,15,52023
,34255,1597,93,200,2010-03-26 15:12:38.483000,16,52024
,34257,1470,93,119,2010-03-26 15:13:38.280000,17,52026
,34258,122852,93,207,2010-03-26 15:14:29.687000,18,52027
,34261,3003,93,83,2010-03-26 15:58:09.297000,19,52029
,34261,3003,93,83,2010-03-26 15:58:09.297000,19,52030
,34262,1511,93,46,2010-03-26 16:10:11.093000,20,52031
,34263,1524,93,133,2010-03-26 16:11:21.890000,21,52032
,34263,1524,93,133,2010-03-26 16:11:21.890000,21,52033
,34264,1418,93,63,2010-03-26 16:31:01.657000,22,52034
,34265,1431,93,83,2010-03-26 16:32:14.970000,23,52035
,59649,1368,93,98,2010-03-27 09:27:20.203000,24,94709
,59650,1514,93,63,2010-03-27 09:43:53.517000,25,94710
,59661,4189,93,0,2010-03-27 13:51:00.063000,26,94726
,59661,4189,93,0,2010-03-27 13:51:00.063000,26,94727
,59661,4189,93,0,2010-03-27 13:51:00.063000,26,94728
,59668,4198,93,50,2010-03-27 16:12:58.890000,27,94739
,59668,4198,93,50,2010-03-27 16:12:58.890000,27,94742
,59671,4199,93,93,2010-03-27 16:33:15.077000,28,94743
,59671,4199,93,93,2010-03-27 16:33:15.077000,28,94744
,59673,4200,93,75,2010-03-27 16:43:59.313000,29,94747
,59673,4200,93,75,2010-03-27 16:43:59.313000,29,94748
,59674,1383,93,127,2010-03-27 16:47:20.640000,30,94749
,59675,1500,93,125,2010-03-27 16:49:55.827000,31,94750
,59676,1536,93,63,2010-03-27 16:51:34.627000,32,94751
,59677,1582,93,83,2010-03-27 16:52:36.860000,33,94752
,59678,1369,93,63,2010-03-27 16:53:31.407000,34,94753
,59717,1552,91,0,2010-03-29 09:22:24,35,94835
,59717,1552,91,0,2010-03-29 09:22:24,35,94836
,59717,1552,91,0,2010-03-29 09:22:24,35,94837
,59718,1545,91,63,2010-03-29 09:25:20.517000,36,94838
,59719,1573,91,110,2010-03-29 09:26:34.610000,37,94839
,59719,1573,91,110,2010-03-29 09:26:34.610000,37,94840
,59720,1590,91,46,2010-03-29 09:27:38.017000,38,94841
,59722,4207,91,125,2010-03-29 10:02:26.530000,40,94842
,59722,4207,91,125,2010-03-29 10:02:26.530000,40,94843
,59722,4207,91,125,2010-03-29 10:02:26.530000,40,94844
,59724,4208,91,50,2010-03-29 10:23:44.890000,42,94845
,59724,4208,91,50,2010-03-29 10:23:44.890000,42,94846
,59724,4208,91,50,2010-03-29 10:23:44.890000,42,94847
,59725,4199,91,0,2010-03-29 10:31:55.453000,43,94848
,59725,4199,91,0,2010-03-29 10:31:55.453000,43,94849
,59727,4857,91,93,2010-03-29 10:37:56.907000,45,94850
,59727,4857,91,93,2010-03-29 10:37:56.907000,45,94851
,59727,4857,91,93,2010-03-29 10:37:56.907000,45,94852
,81981,7681,91,0,2010-03-29 12:49:18.890000,47,131300
,81989,1589,91,58,2010-03-29 15:09:21.627000,48,131312
,81990,1589,91,53,2010-03-29 15:10:51.110000,49,131313
,81992,1519,91,75,2010-03-29 15:21:50.110000,50,131315
,81995,1484,91,63,2010-03-29 15:44:53.517000,51,131318
,81996,1332,91,126,2010-03-29 15:47:56.547000,52,131319
,81996,1332,91,126,2010-03-29 15:47:56.547000,52,131320
,132112,1525,91,91,2010-03-30 08:35:03.077000,53,223871
,132113,1469,91,69,2010-03-30 08:37:05.877000,54,223872
,132114,1310,91,89,2010-03-30 08:38:11.780000,55,223873
,132115,1342,91,63,2010-03-30 08:39:51.767000,56,223874
,132116,1397,91,65,2010-03-30 08:46:08.673000,57,223875
,132116,1397,91,65,2010-03-30 08:46:08.673000,57,223876
,132117,1497,91,93,2010-03-30 08:47:46.687000,58,223877
,132118,1522,91,103,2010-03-30 08:51:52.470000,59,223878
,154362,1565,91,63,2010-03-30 10:09:47.610000,60,260306
,154363,1450,91,63,2010-03-30 10:31:03.970000,61,260307
,154364,1375,91,115,2010-03-30 10:31:50.780000,62,260308
,154365,1496,91,220,2010-03-30 10:32:30.173000,63,260309
,154366,1406,91,63,2010-03-30 11:08:19.187000,64,260310
,154367,14629,91,75,2010-03-30 11:14:59.453000,65,260311
,154367,14629,91,75,2010-03-30 11:14:59.453000,65,260312
,242851,1326,93,60,2010-03-30 13:56:56.093000,67,404706
,242853,1394,93,45,2010-03-30 14:04:27.517000,68,404709
,242857,1354,93,46,2010-03-30 14:13:22.297000,69,404715
,242860,1403,93,130,2010-03-30 14:52:44.970000,70,404719
,242861,1403,93,153,2010-03-30 14:54:00.233000,71,404720
,242861,1403,93,153,2010-03-30 14:54:00.233000,71,404721
,242861,1403,93,153,2010-03-30 14:54:00.233000,71,404722
,242862,1403,93,30,2010-03-30 14:54:56.343000,72,404723
,242862,1403,93,30,2010-03-30 14:54:56.343000,72,404724
,242867,1361,93,1080,2010-03-30 15:46:35.907000,73,404735
,242867,1361,93,1080,2010-03-30 15:46:35.907000,73,404736
,242867,1361,93,1080,2010-03-30 15:46:35.907000,73,404737
,242867,1361,93,1080,2010-03-30 15:46:35.907000,73,404738
,242867,1361,93,1080,2010-03-30 15:46:35.907000,73,404739
,242867,1361,93,1080,2010-03-30 15:46:35.907000,73,404740
,242867,1361,93,1080,2010-03-30 15:46:35.907000,73,404741
,242867,1361,93,1080,2010-03-30 15:46:35.907000,73,404742
,242867,1361,93,1080,2010-03-30 15:46:35.907000,73,404743
,242867,1361,93,1080,2010-03-30 15:46:35.907000,73,404744
,242867,1361,93,1080,2010-03-30 15:46:35.907000,73,404745
,242867,1361,93,1080,2010-03-30 15:46:35.907000,73,404746
,242868,1361,93,996,2010-03-30 15:51:31.703000,74,404747
,242868,1361,93,996,2010-03-30 15:51:31.703000,74,404748
,242868,1361,93,996,2010-03-30 15:51:31.703000,74,404749
,242868,1361,93,996,2010-03-30 15:51:31.703000,74,404750
,242868,1361,93,996,2010-03-30 15:51:31.703000,74,404751
,242868,1361,93,996,2010-03-30 15:51:31.703000,74,404752
,242868,1361,93,996,2010-03-30 15:51:31.703000,74,404753
,242868,1361,93,996,2010-03-30 15:51:31.703000,74,404754
,242868,1361,93,996,2010-03-30 15:51:31.703000,74,404755
,242868,1361,93,996,2010-03-30 15:51:31.703000,74,404756
,242868,1361,93,996,2010-03-30 15:51:31.703000,74,404757
,242868,1361,93,996,2010-03-30 15:51:31.703000,74,404758
